================================================================================
DATASET: academic_company_ref
================================================================================

                   column  dtype   n_rows  n_missing  missing_frac         mean          std
                     rcid  int32 29147434          0      0.000000 3.945366e+07 3.909925e+07
                  company string 29147434          0      0.000000          NaN          NaN
             primary_name string 29147434          0      0.000000          NaN          NaN
        factset_entity_id string 29147434   24270088      0.832666          NaN          NaN
             year_founded  int32 29147434   16625908      0.570407 2.006872e+03 2.441975e+01
                   ticker string 29147434   29095685      0.998225          NaN          NaN
            exchange_name string 29147434   29095685      0.998225          NaN          NaN
                    sedol string 29147434   29133499      0.999522          NaN          NaN
                     isin string 29147434   29054586      0.996815          NaN          NaN
                    cusip string 29147434   29053527      0.996778          NaN          NaN
                      url string 29147434    8959751      0.307394          NaN          NaN
               naics_code string 29147434   26242379      0.900332          NaN          NaN
                      cik string 29147434   29015103      0.995460          NaN          NaN
                      lei string 29147434   28623897      0.982038          NaN          NaN
             linkedin_url string 29147434     754788      0.025896          NaN          NaN
               child_rcid  int32 29147434          0      0.000000 3.935247e+07 3.911307e+07
            child_company string 29147434          0      0.000000          NaN          NaN
       child_linkedin_url string 29147434     637075      0.021857          NaN          NaN
     ultimate_parent_rcid  int32 29147434         41      0.000001 3.945753e+07 3.907786e+07
ultimate_parent_rcid_name string 29147434         41      0.000001          NaN          NaN
                    gvkey  int32 29147434   29083056      0.997791 2.099406e+05 1.122972e+05
                      ein  int32 29147434   29101224      0.998415 5.581818e+08 2.837193e+08
        hq_street_address string 29147434   27416833      0.940626          NaN          NaN
                  hq_city string 29147434    7495673      0.257164          NaN          NaN
            hq_metro_area string 29147434    5792408      0.198728          NaN          NaN
                 hq_state string 29147434    6028310      0.206821          NaN          NaN
               hq_country string 29147434    5782644      0.198393          NaN          NaN
                hq_region string 29147434    5782644      0.198393          NaN          NaN
                rics_k400 string 29147434          0      0.000000          NaN          NaN
                 rics_k50 string 29147434          0      0.000000          NaN          NaN
                rics_k200 string 29147434          0      0.000000          NaN          NaN
              hq_zip_code string 29147434   27434016      0.941215          NaN          NaN
             phone_number string 29147434   28097897      0.963992          NaN          NaN
                   slogan string 29147434   19112416      0.655715          NaN          NaN
              description string 29147434    5171130      0.177413          NaN          NaN

================================================================================
DATASET: academic_individual_position
================================================================================

                      column   dtype     n_rows  n_missing  missing_frac          mean          std
                     user_id   int64 1720304610          0      0.000000  6.874000e+08 6.382200e+08
                 position_id   int64 1720304610          0      0.000000 -1.340668e+10 5.325064e+18
                 company_raw  string 1720304610    4418529      0.002568           NaN          NaN
        company_linkedin_url  string 1720304610  624980995      0.363297           NaN          NaN
             company_cleaned  string 1720304610   13341018      0.007755           NaN          NaN
                location_raw  string 1720304610     908700      0.000528           NaN          NaN
                      region  string 1720304610          0      0.000000           NaN          NaN
                     country  string 1720304610          0      0.000000           NaN          NaN
                       state  string 1720304610          0      0.000000           NaN          NaN
                  metro_area  string 1720304610          0      0.000000           NaN          NaN
                         msa  string 1720304610          0      0.000000           NaN          NaN
                        city  string 1720304610          0      0.000000           NaN          NaN
                   startdate  string 1720304610  289329284      0.168185           NaN          NaN
                     enddate  string 1720304610  694592041      0.403761           NaN          NaN
                   title_raw  string 1720304610     816266      0.000474           NaN          NaN
             job_category_v2  string 1720304610          0      0.000000           NaN          NaN
                 role_k50_v2  string 1720304610          0      0.000000           NaN          NaN
                role_k150_v2  string 1720304610          0      0.000000           NaN          NaN
                role_k300_v2  string 1720304610          0      0.000000           NaN          NaN
                role_k500_v2  string 1720304610          0      0.000000           NaN          NaN
               role_k1000_v2  string 1720304610          0      0.000000           NaN          NaN
               role_k1500_v2  string 1720304610          0      0.000000           NaN          NaN
                 role_k10_v3  string 1720304610      34913      0.000020           NaN          NaN
                 role_k50_v3  string 1720304610      34913      0.000020           NaN          NaN
                role_k150_v3  string 1720304610      34913      0.000020           NaN          NaN
                role_k500_v3  string 1720304610      34913      0.000020           NaN          NaN
               role_k1000_v3  string 1720304610      34913      0.000020           NaN          NaN
               role_k1500_v3  string 1720304610      34913      0.000020           NaN          NaN
               role_k5000_v3  string 1720304610      34913      0.000020           NaN          NaN
              role_k10000_v3  string 1720304610      34913      0.000020           NaN          NaN
              role_k15000_v3  string 1720304610      34913      0.000020           NaN          NaN
              mapped_role_v3  string 1720304610      34913      0.000020           NaN          NaN
          remote_suitability float32 1720304610          0      0.000000  5.239765e-01 2.577075e-01
                      weight float32 1720304610          0      0.000000  1.326333e+00 4.650581e-01
                 description  string 1720304610 1104016281      0.641756           NaN          NaN
                start_salary float64 1720304610     555802      0.000323  4.163566e+04 3.899004e+04
                  end_salary float64 1720304610     243171      0.000141  4.939291e+04 4.756805e+04
                   seniority   int16 1720304610          0      0.000000  2.325348e+00 1.470696e+00
                      salary float32 1720304610     243171      0.000141  4.939292e+04 4.756805e+04
             position_number   int16 1720304610          0      0.000000  3.428684e+00 3.877980e+00
                        rcid   int64 1720304610  461626146      0.268340  1.072390e+07 2.340866e+07
                company_name  string 1720304610  461814653      0.268449           NaN          NaN
        ultimate_parent_rcid   int64 1720304610  461660921      0.268360  1.233897e+07 2.447326e+07
ultimate_parent_company_name  string 1720304610  461849428      0.268470           NaN          NaN
                   onet_code  string 1720304610   39567465      0.023000           NaN          NaN
                  onet_title  string 1720304610   39567465      0.023000           NaN          NaN
                      ticker  string 1720304610 1514103156      0.880137           NaN          NaN
                    exchange  string 1720304610 1514103156      0.880137           NaN          NaN
                       cusip  string 1720304610 1454183169      0.845306           NaN          NaN
                  naics_code  string 1720304610  469739447      0.273056           NaN          NaN
           naics_description  string 1720304610  469739447      0.273056           NaN          NaN
                    rics_k50  string 1720304610  461907913      0.268504           NaN          NaN
                   rics_k200  string 1720304610  461907913      0.268504           NaN          NaN
                   rics_k400  string 1720304610  461907913      0.268504           NaN          NaN
  ultimate_parent_factset_id  string 1720304610  723909751      0.420803           NaN          NaN
ultimate_parent_factset_name  string 1720304610  724093685      0.420910           NaN          NaN
          total_compensation float32 1720304610     252482      0.000147  6.621227e+04 1.037713e+05
     additional_compensation float32 1720304610     252482      0.000147  1.681936e+04 7.007598e+04
            title_translated  string 1720304610    1602102      0.000931           NaN          NaN

================================================================================
DATASET: academic_individual_user
================================================================================

              column                dtype    n_rows  n_missing  missing_frac         mean          std
             user_id                int64 618161168          0      0.000000 8.895282e+08 7.596373e+08
           firstname               string 618161168    1636782      0.002648          NaN          NaN
            lastname               string 618161168   19522237      0.031581          NaN          NaN
            fullname               string 618161168     121168      0.000196          NaN          NaN
              f_prob              float64 618161168          0      0.000000 4.546071e-01 4.256351e-01
              m_prob              float64 618161168          0      0.000000 5.453929e-01 4.256351e-01
          white_prob              float64 618161168          0      0.000000 4.828398e-01 4.206830e-01
          black_prob              float64 618161168          0      0.000000 9.537203e-02 2.161411e-01
            api_prob              float64 618161168          0      0.000000 2.488714e-01 3.961524e-01
       hispanic_prob              float64 618161168          0      0.000000 1.401024e-01 2.997872e-01
         native_prob              float64 618161168          0      0.000000 5.676056e-03 2.279622e-02
       multiple_prob              float64 618161168          0      0.000000 2.713826e-02 7.372952e-02
            prestige              float64 618161168          0      0.000000 1.211860e-01 4.016048e-01
      highest_degree               string 618161168          0      0.000000          NaN          NaN
       sex_predicted               string 618161168          0      0.000000          NaN          NaN
 ethnicity_predicted               string 618161168      92232      0.000149          NaN          NaN
profile_linkedin_url               string 618161168          0      0.000000          NaN          NaN
       user_location               string 618161168    2303447      0.003726          NaN          NaN
        user_country               string 618161168          0      0.000000          NaN          NaN
       profile_title               string 618161168   37316772      0.060367          NaN          NaN
