name,name_norm,rcid,loc
????? ????????? ??????????,,2985527,kyiv|kyiv city|ukraine
????? ????????? ??????????,,9126490,villeneuve-loubet|provence-alpes-cote d'azur|france
????? ????????? ??????????,,92985744,
ANGLES,angles,2017423,los angeles|california|united states
ANGLES,angles,8829158,kuwait city|al asimah|kuwait
Beauty by Design,beauty by design,9442560,
Beauty by Design,beauty by design,9442561,gosport|england|united kingdom
Beauty by Design,beauty by design,101370985,nassau|new providence|bahamas
Diaz Construction LLC,diaz construction,3124868,colorado|united states
Diaz Construction LLC,diaz construction,11293400,yuma|arizona|united states
Diaz Construction LLC,diaz construction,23869531,shorewood|illinois|united states
"Flower World, Inc.",flower world,482290,snohomish|washington|united states
"Flower World, Inc.",flower world,100930263,dhaka|dhaka|bangladesh
"HCC, Inc.",hcc,189919,incline village|nevada|united states|89451
"HCC, Inc.",hcc,934642,mendota|illinois|united states|61342-0952
JUMP!,jump,2799706,panama|panama|panama
JUMP!,jump,14143716,st. louis|missouri|united states
LinKeys,linkeys,854757,marly|hauts-de-france|france
LinKeys,linkeys,4695700,hangzhou|zhejiang|china
Newdays Ltd,newdays,15991981,leeds|england|united kingdom
Newdays Ltd,newdays,93090541,brussels|flanders|belgium
Newdays Ltd,newdays,101247863,
"Power Quality, Inc.",power quality,5617884,yuma|arizona|united states
"Power Quality, Inc.",power quality,24567715,rockville|maryland|united states
Remake Co.,remake,1684711,san francisco|california|united states
Remake Co.,remake,17387062,
Remake Co.,remake,17387079,combourg|brittany|france
TypeON,typeon,19669829,los angeles|california|united states
TypeON,typeon,19669830,huellhorst|north rhine-westphalia|germany
